calendar_date,fiscal_year
2017-09-01,2018
2017-10-02,2018
2017-11-02,2018
2017-12-03,2018
2018-01-03,2018
2018-02-03,2018
2018-03-06,2018
2018-04-06,2018
2018-05-07,2018
2018-06-07,2018
2018-07-08,2018
2018-08-08,2018
2018-09-08,2019
2018-10-09,2019
2018-11-09,2019
2018-12-10,2019
2019-01-10,2019
2019-02-10,2019
2019-03-13,2019
2019-04-13,2019
2019-05-14,2019
2019-06-14,2019
2019-07-15,2019
2019-08-15,2019
2019-09-15,2020
2019-10-16,2020
2019-11-16,2020
2019-12-17,2020
2020-01-17,2020
2020-02-17,2020
2020-03-19,2020
2020-04-19,2020
2020-05-20,2020
2020-06-20,2020
2020-07-21,2020
2020-08-21,2020
2020-09-21,2021
2020-10-22,2021
2020-11-22,2021
2020-12-23,2021
2021-01-23,2021
2021-02-23,2021
2021-03-26,2021
2021-04-26,2021
2021-05-27,2021
2021-06-27,2021
2021-07-28,2021
2021-08-28,2021
2021-09-28,2022
2021-10-29,2022
2021-11-29,2022
2021-12-30,2022
2022-01-30,2022
2022-03-02,2022
2022-04-02,2022
2022-05-03,2022
2022-06-03,2022
2022-07-04,2022
2022-08-04,2022
2022-09-04,2023
2022-10-05,2023
2022-11-05,2023
